,0
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,0
247,0
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,1
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,0
466,0
467,1
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,0
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,0
556,0
557,1
558,1
559,0
560,1
561,0
562,0
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,0
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,1
591,0
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,0
608,0
609,0
610,1
611,1
612,1
613,0
614,0
615,0
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,0
629,0
630,0
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,0
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,0
651,0
652,1
653,1
654,0
655,1
656,0
657,0
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,1
682,1
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,0
692,1
693,1
694,0
695,1
696,0
697,0
698,1
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,1
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,1
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,1
732,1
733,1
734,0
735,0
736,1
737,1
738,1
739,1
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,0
760,1
761,0
762,1
763,1
764,0
765,0
766,0
767,0
768,1
769,1
770,1
771,0
772,0
773,0
774,0
775,1
776,0
777,1
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,1
786,0
787,0
788,1
789,0
790,1
791,1
792,0
793,1
794,0
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,0
821,0
822,0
823,1
824,0
825,0
826,0
827,1
828,1
829,0
830,0
831,1
832,0
833,1
834,0
835,0
836,0
837,1
838,1
839,0
840,1
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,0
849,1
850,0
851,1
852,0
853,1
854,1
855,0
856,1
857,1
858,0
859,1
860,1
861,1
862,0
863,1
864,1
865,1
866,0
867,1
868,1
869,1
870,0
871,1
872,1
873,0
874,1
875,0
876,1
877,0
878,1
879,1
880,0
881,0
882,1
883,0
884,1
885,1
886,0
887,0
888,1
889,1
890,1
891,0
892,0
893,1
894,1
895,1
896,1
897,1
898,1
899,0
900,0
901,1
902,1
903,0
904,0
905,0
906,1
907,1
908,0
909,0
910,0
911,1
912,0
913,0
914,1
915,1
916,0
917,1
918,0
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,1
934,1
935,1
936,1
937,0
938,0
939,0
940,1
941,1
942,0
943,0
944,1
945,0
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,1
956,0
957,0
958,1
959,1
960,0
961,1
962,1
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,1
971,0
972,0
973,1
974,1
975,1
976,1
977,0
978,1
979,0
980,1
981,0
982,1
983,1
984,1
985,1
986,0
987,1
988,0
989,1
990,0
991,0
992,1
993,1
994,0
995,0
996,1
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,0
1061,0
1062,0
1063,1
1064,0
1065,0
1066,1
1067,0
1068,1
1069,0
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,0
1082,0
1083,1
1084,0
1085,1
1086,0
1087,1
1088,1
1089,1
1090,1
1091,0
1092,0
1093,1
1094,1
1095,0
1096,1
1097,0
1098,0
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,1
1106,0
1107,1
1108,1
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,1
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,1
1135,1
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,1
1152,1
1153,0
1154,1
1155,1
1156,0
1157,1
1158,1
1159,0
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,0
1170,1
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,1
1183,1
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,1
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,1
1206,0
1207,1
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,0
1215,1
1216,0
1217,0
1218,0
1219,1
1220,1
1221,0
1222,0
1223,1
1224,0
1225,1
1226,0
1227,0
1228,1
1229,0
1230,0
