,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,0
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,0
530,0
531,0
532,0
