,0
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,1
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,0
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,0
412,0
413,0
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,0
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,0
501,0
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,0
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,0
527,0
528,1
529,1
530,0
531,0
532,1
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,0
576,1
577,1
578,1
579,0
580,0
581,1
582,0
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,1
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,1
648,0
649,0
650,1
651,1
652,0
653,0
654,0
655,0
656,1
657,1
658,0
659,1
660,1
661,0
662,0
663,1
664,1
665,0
666,1
667,1
668,0
669,1
670,1
671,0
672,1
673,1
674,0
675,0
676,0
677,1
678,0
679,1
680,0
681,1
682,0
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,1
694,0
695,0
696,1
697,1
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,0
717,1
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,1
738,0
739,1
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,0
760,0
761,0
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,1
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,1
793,1
794,1
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,1
804,1
805,1
806,1
807,1
808,1
809,0
810,0
811,1
812,1
