,0
0,0
1,0
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,1
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,0
449,1
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,0
491,0
492,1
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,0
531,1
532,1
